kecamatan,halte,apotek,saluran,sungai,cagar_buda,danau_embu,daya_tarik,gdf_bandar,spbg,pemerintah,jumlah_populasi
jagakarsa,0,4,4,1,0,0,0,0,0,2,81834.0
cinere,0,0,0,0,0,0,1,0,0,0,32160.0
beji,0,0,0,0,0,0,0,0,0,0,148663.0
duren sawit,0,3,0,3,0,0,3,0,0,2,4385.0
bendungan hilir,1,3,1,1,0,0,1,0,0,0,25753.0
tomang,3,5,2,2,0,1,4,0,0,1,35667.0
cawang,4,0,0,2,0,0,0,0,0,1,41324.0
kemanggisan,2,4,0,1,0,1,3,0,0,1,39358.0
pondok kelapa,0,6,0,5,0,0,1,0,0,1,99269.0
joglo,0,5,8,0,0,0,2,0,0,1,66788.0
metro permata,0,0,0,0,0,0,0,0,0,0,69559.0
kalideres,2,5,5,3,0,1,1,1,0,1,97333.0
lebak bulus,1,4,0,2,0,0,1,0,0,2,47414.0
duri kepa,0,4,1,2,0,0,2,0,0,1,74453.0
bintaro,0,0,0,4,0,0,2,0,0,1,78351.0
pasar minggu,0,0,0,1,0,0,2,1,0,1,31950.0
tanjung priok,2,0,2,4,1,0,1,1,0,1,43393.0
kedoya selatan,1,3,6,1,0,0,0,0,0,2,40592.0
pesanggrahan,0,2,0,2,0,0,0,0,0,3,85761.0
kebagusan,0,2,2,1,0,1,1,0,0,1,73401.0
pluit,5,7,11,8,7,2,15,1,0,3,59299.0
kebon jeruk,1,3,0,2,0,0,3,0,0,2,87583.0
mampang prapatan,1,1,0,2,0,0,0,0,0,1,22866.0
jelambar,2,4,0,1,0,0,0,0,0,1,36158.0
pulo gadung,2,0,1,3,0,0,1,1,0,1,44308.0
ciangsana,0,0,0,0,0,0,1,0,0,0,32149.0
pondok pinang,5,25,2,3,0,0,7,0,0,4,175840.0
senen,5,3,0,1,7,0,4,1,0,1,8165.0
kramat jati,1,0,0,1,0,0,1,0,0,2,46687.0
pondok bambu,0,8,0,4,0,1,4,0,0,3,82862.0
jatinegara,1,1,2,2,0,0,0,0,0,1,116594.0
pinang,0,0,0,0,0,0,0,0,0,0,23231.0
kemayoran,0,0,0,0,0,0,1,0,0,1,50205.0
serpong,0,0,0,0,0,0,0,0,0,0,21614.0
menteng,2,0,2,4,8,0,12,0,0,2,100408.0
pegadungan,0,5,5,4,0,4,2,0,1,3,101985.0
rawamangun,5,3,2,1,0,0,8,0,2,0,50153.0
cipedak,0,5,1,1,0,2,1,0,0,1,51333.0
medan satria,0,0,0,0,0,0,0,0,0,0,28193.0
pondok kopi,0,7,1,4,0,0,3,0,0,2,51498.0
tambora,0,2,0,2,22,0,0,0,0,2,14772.0
ciracas,0,5,1,2,0,0,1,0,0,2,87517.0
batu ceper,0,0,0,0,0,0,0,0,0,0,14379.0
cipondoh,0,0,0,0,0,0,0,0,0,0,32587.0
kramat,3,1,0,0,0,0,0,0,0,1,105517.0
tanjung barat,0,0,2,2,0,0,0,0,0,1,51219.0
duren tiga,1,0,5,3,0,1,0,0,0,2,34803.0
ancol,2,1,2,8,3,0,22,0,0,1,44685.0
klender,4,6,0,2,0,0,1,0,0,1,89631.0
johar baru,0,3,0,1,0,0,0,0,0,2,45275.0
koja,1,1,1,2,0,0,1,0,0,1,36144.0
cipulir,0,2,1,2,0,0,2,0,0,1,50324.0
palmerah,0,1,0,1,1,2,3,0,0,3,78862.0
cideng,0,3,1,4,0,0,2,0,0,1,18264.0
ciputat,0,0,0,0,0,0,0,0,0,0,30585.0
cilincing,0,2,3,6,3,0,1,0,0,2,60112.0
cengkareng barat,2,10,4,4,0,1,1,0,0,2,84055.0
cibubur,0,5,0,1,0,2,4,0,0,1,85553.0
srengseng,0,2,3,2,0,1,1,0,0,1,72702.0
karet tengsin,0,0,1,2,0,0,1,0,0,1,23934.0
jati padang,2,1,3,0,1,0,3,0,0,2,46729.0
bangka,0,1,3,3,0,0,7,0,0,0,26723.0
ragunan,3,2,1,0,0,4,4,1,0,1,49571.0
ciganjur,0,1,1,1,0,0,2,0,0,1,51076.0
ulujami,0,0,0,2,0,0,0,0,0,1,52459.0
kayu putih,4,0,7,3,0,2,2,0,0,1,11239.0
penggilingan,3,5,2,4,0,1,1,0,0,1,133518.0
rawa buaya,0,3,0,6,0,1,1,0,0,1,82417.0
lenteng agung,0,4,6,2,0,1,0,0,0,3,151210.0
halim perdana kusuma,0,1,0,4,0,6,3,0,0,1,35609.0
pancoran,2,0,2,2,0,0,5,0,1,1,32836.0
kreo,0,0,0,0,0,0,0,0,0,0,16696.0
karawaci,0,0,0,0,0,0,0,0,0,0,7775.0
kalisari,0,0,1,2,0,0,0,0,0,1,131551.0
cipinang melayu,0,1,1,4,0,1,1,0,0,1,53999.0
rorotan,0,1,9,10,0,0,0,0,0,1,58812.0
gambir,7,0,0,3,19,0,10,0,0,2,2943.0
mangga besar,9,17,0,10,37,0,25,0,0,11,337813.0
angke,1,1,0,4,1,0,0,0,0,1,35254.0
kedoya utara,2,9,4,5,0,0,0,0,0,0,57687.0
pondok ranggon,0,3,1,1,0,2,2,0,0,1,172000.0
kebalen,0,0,0,0,0,0,0,0,0,0,56719.0
senayan,3,1,0,2,0,0,5,0,0,1,5540.0
makasar,0,1,0,3,0,0,0,0,0,2,44064.0
kapuk muara,0,1,6,4,0,4,2,0,0,1,47165.0
limo,0,0,0,0,0,0,0,0,0,0,32534.0
cikini,0,2,0,1,4,0,14,0,0,1,10008.0
pamulang,0,0,0,0,0,0,0,0,0,0,220886.0
kebayoran baru,5,15,4,6,3,1,30,1,0,12,203405.0
cilandak,1,10,2,4,0,1,10,0,0,6,231444.0
kembangan,0,19,16,11,0,1,11,0,0,5,244340.0
cempaka putih,6,2,1,1,0,0,2,0,0,4,109857.0
pademangan,4,2,6,14,4,1,27,0,0,4,185008.0
cakung,6,12,14,13,0,6,9,1,1,10,603067.0
cengkareng,6,26,20,14,0,3,7,1,1,8,598266.0
cipayung,0,4,1,1,0,8,27,0,0,3,280604.0
penjaringan,5,19,21,19,7,8,25,1,0,6,215644.0
kebayoran lama,8,35,3,4,0,0,14,0,0,7,439499.0
pasar rebo,0,0,2,4,0,1,1,0,0,7,504152.0
babelan,0,0,0,0,0,0,0,0,0,0,271997.0
tanah abang,5,8,3,6,1,2,27,0,0,6,185923.0
tangerang,0,0,0,0,0,0,0,0,0,0,31633.0
tebet,4,14,6,7,2,0,12,1,0,8,208673.0
kelapa gading,8,12,44,4,0,3,25,0,1,4,146371.0
sawangan,0,0,0,0,0,0,0,0,0,0,174787.0
bekasi utara,0,0,0,0,0,0,0,0,0,0,163501.0
tarumajaya,0,0,0,1,0,0,0,0,0,0,104967.0
bantar gebang,0,0,0,0,0,0,0,0,0,0,91368.0
larangan,0,0,1,0,0,0,0,0,0,0,164235.0
matraman,6,4,0,4,0,0,2,0,0,6,118438.0
ciledug,0,0,0,0,0,0,0,0,0,0,120710.0
cimanggis,0,0,0,4,0,2,2,0,0,0,214352.0
sawah besar,4,6,0,5,2,0,2,0,0,4,102509.0
setu,0,0,0,0,0,0,0,0,0,0,150523.0
ciputat timur,0,0,0,2,0,0,0,0,0,0,200680.0
green ville,7,28,10,6,0,0,7,0,0,8,422581.0
meruya,0,3,9,2,0,0,1,0,0,3,197120.0
patal senayan,1,3,1,1,0,0,2,0,0,1,52967.0
gandaria,2,11,1,3,0,0,2,0,0,3,104996.0
kav dki,0,3,9,2,0,0,1,0,0,3,197120.0
pantai indah kapuk,11,45,41,31,7,11,32,2,1,14,813910.0
green lake city,4,18,8,6,0,1,5,0,0,4,221755.0
margonda,0,0,0,0,0,0,0,0,0,0,62756.0
cirendeu,0,0,0,2,0,0,0,0,0,0,200680.0
metland puri,0,0,0,0,0,0,0,0,0,0,32587.0
blok s,0,0,0,1,0,0,5,0,0,1,6683.0
sunter,3,11,18,6,0,1,10,0,0,2,338156.0
petojo,7,0,0,3,19,0,10,0,0,2,2943.0
citra garden,0,5,5,4,0,4,2,0,1,3,101985.0
tanjung duren,1,5,0,2,0,1,10,0,0,3,102272.0
puri indah,0,12,7,10,0,0,8,0,0,3,104850.0
pejaten,2,1,7,3,0,0,0,0,0,1,119759.0
pondok indah,2,11,1,3,0,0,2,0,0,3,104996.0
kemang,0,0,0,0,0,0,0,0,0,0,30809.0
tamansari,0,3,0,3,0,0,0,0,0,1,922980.0
percetakan negara,0,0,0,0,0,0,0,0,0,0,38962.0
rempoa,0,0,0,1,0,0,0,0,0,0,26198.0
tb simatupang,0,9,1,2,0,0,10,0,0,3,94463.0
utan kayu,2,0,0,1,0,0,0,0,0,3,34749.0
sumur batu,0,0,2,2,0,0,1,0,0,1,38979.0
kuningan,9,2,0,3,1,0,6,0,1,2,23249.0
kedoya baru,1,3,6,1,0,0,0,0,0,2,40592.0
petukangan,0,3,3,1,0,1,0,0,0,2,116982.0
taman meruya,0,15,16,10,0,0,9,0,0,6,301970.0
cipete,0,0,0,0,0,0,0,0,0,0,26732.0
daan mogot,10,33,2,6,1,4,17,1,0,7,397387.0
pejompongan,1,3,1,1,0,0,1,0,0,0,25753.0
grogol,3,7,0,2,0,1,3,1,0,1,255834.0
harmoni,7,0,0,3,19,0,10,0,0,2,2943.0
bambu apus,0,2,0,0,0,0,1,0,0,1,128218.0
pangeran jayakarta,0,1,0,1,1,0,0,0,0,1,34166.0
permata hijau,1,3,1,1,0,0,2,0,0,1,52967.0
sudirman,3,1,0,2,0,2,2,0,0,2,7886.0
thamrin,11,5,7,12,28,1,40,0,0,9,235919.0
senopati,5,15,4,6,3,1,30,1,0,12,203405.0
antasari,5,15,4,6,3,1,30,1,0,12,203405.0
sektor 1 - bintaro,0,0,0,4,0,0,2,0,0,1,78351.0
mega kuningan,17,4,2,4,0,3,29,0,0,9,154659.0
radio dalam,5,15,4,6,3,1,30,1,0,12,203405.0
pasar baru,2,3,1,3,24,0,14,0,0,1,162838.0
kedoya,3,12,9,5,0,0,0,0,0,2,98279.0
patra kuningan,3,1,0,2,0,2,2,0,0,2,7886.0
harapan indah,0,4,9,8,0,4,4,0,0,3,181522.0
permata buana,0,12,7,10,0,0,8,0,0,3,104850.0
pegangsaan,0,0,0,2,5,0,3,0,0,1,28325.0
pulomas,4,0,7,3,0,2,2,0,0,1,11239.0
tanah kusir,2,11,1,3,0,0,2,0,0,3,104996.0
harapan mulya,0,0,0,0,0,0,0,0,0,0,28193.0
sektor 2 - bintaro,0,0,0,4,0,0,2,0,0,1,156702.0
ampera,3,2,1,0,0,4,4,1,0,1,49571.0
cipinang,0,0,0,2,0,0,0,0,0,2,185636.0
kalimalang,1,1,2,2,0,0,0,0,0,1,116594.0
pos pengumben,1,3,1,2,0,0,0,0,0,1,48081.0
scbd,3,1,0,2,0,0,5,0,0,1,5540.0
menteng atas,0,1,2,2,0,0,4,0,0,1,34176.0
pinang ranti,1,0,0,1,0,0,1,0,0,2,46687.0
jatiwaringin,0,1,1,4,0,1,1,0,0,1,53999.0
simprug,2,5,0,3,0,0,3,0,0,1,55372.0
condet,1,0,0,1,0,0,1,0,0,2,46687.0
cassablanca,1,1,1,2,0,0,2,0,0,1,44804.0
mampang,0,0,0,0,0,0,0,0,0,0,30645.0
cilangkap,0,4,2,1,0,4,0,0,0,1,398298.0
gunung sahari,0,0,0,0,0,0,1,0,0,1,50205.0
villa meruya,0,12,7,10,0,0,8,0,0,3,104850.0
salemba,2,0,2,4,8,0,12,0,0,2,100408.0
ciater,0,0,0,0,0,0,0,0,0,0,33475.0
tubagus angke,5,20,1,7,68,0,3,0,0,12,237335.0
puri mansion,0,4,11,3,0,0,1,1,0,1,103551.0
poris,0,0,0,0,0,0,0,0,0,0,32587.0
mangga dua,8,4,5,14,36,0,35,0,0,6,184933.0
kapuk,0,0,6,4,0,1,0,0,0,1,181193.0
pakubuwono,0,0,0,2,0,0,3,0,0,2,19658.0
semper,0,5,4,3,1,0,3,0,0,2,136080.0
veteran,1,0,5,3,0,1,0,0,0,2,34803.0
samanhudi,2,3,1,3,24,0,14,0,0,1,81419.0
setu,0,0,2,1,0,2,1,0,0,1,159324.0
kemandoran,1,3,1,1,0,0,2,0,0,1,52967.0
otista,0,0,0,2,0,0,0,0,0,2,92818.0
gudang peluru,0,1,0,1,0,0,0,0,0,1,9497.0
pulo asem,2,0,1,3,0,0,1,1,0,1,44308.0
central park,1,5,0,2,0,1,10,0,0,3,102272.0
gatot subroto,6,8,14,5,0,1,9,0,1,8,187544.0
bsd bukit golf,0,0,0,0,0,0,0,0,0,0,13759.0
kaliabang,0,0,0,0,0,0,0,0,0,0,93852.0
lubang buaya,0,1,3,2,1,0,4,0,1,1,24857.0
